ARCHER User Jobs Report:  n02 ( NCAS (National Centre for Atmospheric Science) )
Report produced on 2021-05-24 .
A total of 169 jobs were submitted on ARCHER by Dr Annette Osprey in project n02 ( NCAS (National Centre for Atmospheric Science) ) during the period Nov - Dec 2020 .
Job list for specified period (limited to 200 entries).
Alps ID,Batch ID,Username,Start,End,Runtime / s,Job size / Nodes,Processes per node,Peak memory per Node / GiB,Total energy / J,Mean node power / W,Application
47057292,7513653.sdb,annette@archer,03/12/20 23:31,04/12/20 11:20,42569,758,8,61.158,7226657853,223.962,Unified Model
47144079,7514713.sdb,annette@archer,05/12/20 04:14,05/12/20 14:14,36010,758,8,66.503,6243600331,228.74,Unified Model
47203400,7516838.sdb,annette@archer,06/12/20 07:17,06/12/20 17:17,36000,758,8,62.473,6232309443,228.39,Unified Model
47211794,7518145.sdb,annette@archer,06/12/20 17:26,07/12/20 03:44,37068,758,8,61.449,6383617449,227.195,Unified Model
47273538,7518960.sdb,annette@archer,07/12/20 09:52,07/12/20 09:56,252,2,4,36.791,83834,166.337,xios
47274246,7519103.sdb,annette@archer,07/12/20 10:44,07/12/20 10:44,1,1,1,0.001,108,108,Unknown
47274293,7519118.sdb,annette@archer,07/12/20 10:52,07/12/20 10:52,1,1,1,0.001,106,106,Unknown
47274433,7519154.sdb,annette@archer,07/12/20 11:05,07/12/20 11:05,1,1,1,0.001,102,102,Unknown
47274575,7519169.sdb,annette@archer,07/12/20 11:13,07/12/20 11:13,18,1,1,0.001,852,47.333,Unknown
47274681,7519174.sdb,annette@archer,07/12/20 11:15,07/12/20 11:16,18,1,1,0.001,872,48.444,Unknown
47274759,7519187.sdb,annette@archer,07/12/20 11:26,07/12/20 11:27,18,1,1,0.002,812,45.111,Unknown
47274814,7519196.sdb,annette@archer,07/12/20 11:41,07/12/20 11:46,256,2,4,36.792,86117,168.197,xios
47338552,7520932.sdb,annette@archer,08/12/20 10:23,08/12/20 10:27,279,2,4,36.79,93439,167.453,xios
47346096,7521057.sdb,annette@archer,08/12/20 11:06,08/12/20 11:10,196,1,24,227.431,21670,110.561,Unified Model
47347922,7521083.sdb,annette@archer,08/12/20 11:15,08/12/20 11:19,256,2,4,36.791,83838,163.746,xios
47361171,7521222.sdb,annette@archer,08/12/20 12:15,08/12/20 12:19,266,2,4,36.791,88740,166.805,xios
47382476,7521468.sdb,annette@archer,08/12/20 13:50,08/12/20 13:53,179,1,24,227.431,20021,111.849,Unified Model
47383663,7521500.sdb,annette@archer,08/12/20 13:56,08/12/20 14:00,254,2,4,36.789,85990,169.272,xios
47385168,7521524.sdb,annette@archer,08/12/20 14:03,08/12/20 14:06,178,1,24,227.431,20494,115.135,Unified Model
47386427,7521544.sdb,annette@archer,08/12/20 14:10,08/12/20 14:14,256,2,4,36.79,84965,165.947,xios
47584733,7527128.sdb,annette@archer,10/12/20 17:15,10/12/20 17:15,2,1,24,0.173,308,154,Unknown
47641139,7528377.sdb,annette@archer,11/12/20 08:23,11/12/20 09:12,2945,1,24,0.329,420263,142.704,Unknown
48247643,7546829.sdb,annette@archer,17/12/20 13:01,17/12/20 13:06,261,2,4,36.792,85335,163.477,xios
48289974,7547168.sdb,annette@archer,17/12/20 16:46,17/12/20 16:46,5,2,4,0.293,993,99.3,xios
48292773,7547196.sdb,annette@archer,17/12/20 17:25,17/12/20 17:25,19,2,4,11.189,4433,116.658,xios
48361327,7548090.sdb,annette@archer,18/12/20 10:37,18/12/20 10:37,35,2,4,11.438,8605,122.929,xios
48361465,7548130.sdb,annette@archer,18/12/20 10:48,18/12/20 10:56,486,2,4,36.333,176328,181.407,xios


