PBS ID,Cycle,Queued Time (s),Elapsed Time (s),Executable,APID,Nodes,Wallclock Used,Wallclock Requested,Memory Used,Memory Requested,CPU Time,Read IO,Write IO,Energy,Lustre device,read,written,open,close,create,getattr,setattr,perms,mkdir,rmdir,readdir,link,unlink,rename
1862979,20090311T0000Z,80,30936,,,,,,,,,,,,,,,,,,,,,,,,,,
1900107,20090321T0000Z,67,31409,,,,,,,,,,,,,,,,,,,,,,,,,,
1931325,20090401T0000Z,70,31896,,,,,,,,,,,,,,,,,,,,,,,,,,
2468851,20090411T0000Z,1383,31579,,,,,,,,,,,,,,,,,,,,,,,,,,
2506079,20090421T0000Z,86,31377,,,,,,,,,,,,,,,,,,,,,,,,,,
2541416,20090501T0000Z,97,30929,,,,,,,,,,,,,,,,,,,,,,,,,,
2576855,20090511T0000Z,63,30814,,,,,,,,,,,,,,,,,,,,,,,,,,
2612241,20090521T0000Z,52,31036,,,,,,,,,,,,,,,,,,,,,,,,,,
2646629,20090601T0000Z,59,30875,,,,,,,,,,,,,,,,,,,,,,,,,,
2675784,20090611T0000Z,73,31117,,,,,,,,,,,,,,,,,,,,,,,,,,
2702850,20090621T0000Z,43,31618,,,,,,,,,,,,,,,,,,,,,,,,,,
2731277,20090701T0000Z,359,31421,,,,,,,,,,,,,,,,,,,,,,,,,,
2757105,20090711T0000Z,59,30851,,,,,,,,,,,,,,,,,,,,,,,,,,
2796244,20090721T0000Z,78,31583,,,,,,,,,,,,,,,,,,,,,,,,,,
2839068,20090801T0000Z,57,37071,,,,,,,,,,,,,,,,,,,,,,,,,,
2880112,20090811T0000Z,119,31265,,,,,,,,,,,,,,,,,,,,,,,,,,
2919382,20090821T0000Z,223,31566,,,,,,,,,,,,,,,,,,,,,,,,,,
2958321,20090901T0000Z,2423,31689,,,,,,,,,,,,,,,,,,,,,,,,,,
3007705,20090911T0000Z,80,30989,,,,,,,,,,,,,,,,,,,,,,,,,,
3044921,20090921T0000Z,72,31880,,,,,,,,,,,,,,,,,,,,,,,,,,
3084517,20091001T0000Z,90,30737,,,,,,,,,,,,,,,,,,,,,,,,,,
3120375,20091011T0000Z,82,31005,,,,,,,,,,,,,,,,,,,,,,,,,,
3155291,20091021T0000Z,1336,31871,,,,,,,,,,,,,,,,,,,,,,,,,,
3187043,20091101T0000Z,43,31766,,,,,,,,,,,,,,,,,,,,,,,,,,
3219227,20091111T0000Z,50,31188,,,,,,,,,,,,,,,,,,,,,,,,,,
3245709,20091121T0000Z,68,31706,,,,,,,,,,,,,,,,,,,,,,,,,,
3273887,20091201T0000Z,48,31648,,,,,,,,,,,,,,,,,,,,,,,,,,
3301612,20091211T0000Z,4194,31662,,,,,,,,,,,,,,,,,,,,,,,,,,
3328247,20091221T0000Z,905,31655,,,,,,,,,,,,,,,,,,,,,,,,,,
3347780,20100101T0000Z,2991,32004,,,,,,,,,,,,,,,,,,,,,,,,,,
3373861,20100111T0000Z,49,32743,,,,,,,,,,,,,,,,,,,,,,,,,,
3400327,20100121T0000Z,73,32339,,,,,,,,,,,,,,,,,,,,,,,,,,
3421565,20100201T0000Z,53,32475,,,,,,,,,,,,,,,,,,,,,,,,,,
3447365,20100211T0000Z,70,32483,,,,,,,,,,,,,,,,,,,,,,,,,,
3469713,20100221T0000Z,47,32245,,,,,,,,,,,,,,,,,,,,,,,,,,
3495184,20100301T0000Z,1346,32556,,,,,,,,,,,,,,,,,,,,,,,,,,
5147198,20100311T0000Z,338,30456,um-atmos.exe,51944949.0,202.0,30380.9,35%,3.3T,13%,208.6M,932.7G,1.9T,1.5G,/projects,590.3G,2.1T,65.2k,65.2k,34.0,763.5k,0.0,394.8k,0.0,0.0,0.0,0.0,1.0,0.0
5244559,20100321T0000Z,47,35948,,,,,,,,,,,,,,,,,,,,,,,,,,
5280534,20100401T0000Z,84,31286,,,,,,,,,,,,,,,,,,,,,,,,,,
5318771,20100411T0000Z,42,30889,,,,,,,,,,,,,,,,,,,,,,,,,,
5352803,20100421T0000Z,92,30839,um-atmos.exe,52165858.0,202.0,30762.5,36%,2.7T,11%,211.2M,920.5G,2.1T,1.5G,/projects,590.5G,2.3T,65.2k,65.2k,74.0,809.0k,0.0,394.8k,1.0,0.0,0.0,0.0,1.0,0.0
5393357,20100501T0000Z,70,30690,,,,,,,,,,,,,,,,,,,,,,,,,,
5435398,20100511T0000Z,105,30145,,,,,,,,,,,,,,,,,,,,,,,,,,
5475086,20100521T0000Z,73,30749,,,,,,,,,,,,,,,,,,,,,,,,,,
5512736,20100601T0000Z,79,31171,,,,,,,,,,,,,,,,,,,,,,,,,,
5553836,20100611T0000Z,51,30887,,,,,,,,,,,,,,,,,,,,,,,,,,
5584633,20100621T0000Z,68,30775,,,,,,,,,,,,,,,,,,,,,,,,,,
5606826,20100701T0000Z,49,30670,um-atmos.exe,52469874.0,202.0,30602.2,35%,2.8T,11%,210.1M,943.4G,1.9T,1.5G,/projects,591.0G,2.1T,72.4k,72.4k,78.0,792.4k,0.0,423.7k,1.0,0.0,0.0,0.0,1.0,0.0
5632317,20100711T0000Z,75,30225,,,,,,,,,,,,,,,,,,,,,,,,,,
5660089,20100721T0000Z,85,30626,,,,,,,,,,,,,,,,,,,,,,,,,,
5687576,20100801T0000Z,126,30795,,,,,,,,,,,,,,,,,,,,,,,,,,
5715632,20100811T0000Z,53,30325,,,,,,,,,,,,,,,,,,,,,,,,,,
5740361,20100821T0000Z,380,30861,,,,,,,,,,,,,,,,,,,,,,,,,,
5769259,20100901T0000Z,127,30546,,,,,,,,,,,,,,,,,,,,,,,,,,
5802249,20100911T0000Z,152,30353,,,,,,,,,,,,,,,,,,,,,,,,,,
5832900,20100921T0000Z,149,31044,,,,,,,,,,,,,,,,,,,,,,,,,,
5874474,20101001T0000Z,168,30016,,,,,,,,,,,,,,,,,,,,,,,,,,
5904885,20101011T0000Z,168,30384,,,,,,,,,,,,,,,,,,,,,,,,,,
5941878,20101021T0000Z,121,30559,,,,,,,,,,,,,,,,,,,,,,,,,,
7123065,20101101T0000Z,162884,29778,,,,,,,,,,,,,,,,,,,,,,,,,,
7190736,20101111T0000Z,120,29975,,,,,,,,,,,,,,,,,,,,,,,,,,
7217159,20101121T0000Z,77,30670,,,,,,,,,,,,,,,,,,,,,,,,,,
7255131,20101201T0000Z,72,29761,,,,,,,,,,,,,,,,,,,,,,,,,,
